Técnico;1.01;CEP;1.02;1.03;2.01;2.02;2.03;2.04;2.05;2.06;2.07;2.08;3.01;3.02;4.01;4.021;4.022;4.03;4.04;4.05
T010;4404;08430-026;6;64;6;4;2;-;4;6;2;-;2;1;1;7;1992;4;1;1
T011;866;04854-280;1;62;6;1;2;-;10;5;3;-;6;1;2;4;1970;5;2;3
T074;2210;04470-315;1;53;3;2;1;5;6;5;2;-;4;2;2;6;1974;5;1;3
T127;4894;08161-005;6;63;1;4;1;3;8;4;3;-;10;1;2;4;1950;4;1;3
T124;3656;04847-005;1;61;6;2;1;4;9;3;3;-;4;2;2;5;1985;2;1;3
T050;4609;08081-383;6;11;1;1;2;-;1;4;3;-;2;1;1;11;1952;3;1;3
T196;1631;08081-385;5;53;1;4;2;-;3;3;3;-;2;1;1;9;1952;4;1;3
T059;2131;08021-457;1;13;3;4;2;-;3;1;2;-;6;1;1;8;1957;1;1;1
T128;1376;04429-005;5;62;4;2;2;-;7;2;3;-;10;1;1;1;1980;5;1;2
T014;667;04854-270;5;15;6;4;2;-;8;1;1;3;2;2;1;2;1961;1;1;1
T178;2099;04845-205;5;63;6;0;1;4;6;3;2;-;2;2;1;12;1971;3;1;2
T105;2953;04854-260;6;63;3;1;1;5;6;5;1;3;3;1;2;3;1976;3;2;2
T134;2218;02812-275;6;15;3;0;1;6;5;4;3;-;10;2;2;5;1965;4;2;2
T090;2984;04866-190;1;11;6;1;2;-;10;5;1;2;4;2;2;10;1955;4;1;2
T087;982;04866-200;6;15;3;4;1;6;2;5;2;-;12;2;2;3;1975;5;1;3
T108;4191;02365-016;5;62;2;3;2;-;2;3;3;-;3;1;1;7;1998;4;1;1
T124;5017;02282-055;5;64;6;0;2;-;6;2;1;1;3;1;2;4;1997;4;1;3
T130;3141;02993-005;6;15;6;4;2;-;9;1;1;3;3;1;2;10;1975;5;2;2
T027;4252;04429-003;6;14;1;1;2;-;7;2;1;3;2;2;1;7;1974;5;2;3
T151;624;05796-165;1;51;1;4;1;5;3;7;3;-;10;1;1;1;1971;5;1;3
T166;3293;04843-555;1;12;6;1;2;-;6;7;3;-;12;2;2;12;1998;5;1;1
T166;4923;08430-880;6;12;4;1;2;-;7;1;2;-;2;2;1;11;1997;2;1;1
T041;5255;08430-875;1;65;3;3;1;4;6;7;3;-;10;1;2;3;1995;4;2;3
T045;4204;08430-873;1;11;6;1;2;-;1;5;2;-;10;2;2;1;1972;3;2;1
T190;2637;08430-870;6;51;4;4;1;5;6;7;3;-;4;2;2;9;1956;2;2;2
T027;1842;08430-863;5;65;3;1;2;-;1;1;2;-;3;2;2;8;1994;1;2;2
T008;3391;08430-855;6;11;3;3;1;4;10;7;1;3;4;1;2;3;1989;3;1;1
T142;975;08430-853;6;64;3;2;1;1;5;3;3;-;3;2;1;1;1981;1;1;3
T032;987;08430-850;5;53;2;3;2;-;6;4;2;-;12;2;1;8;1994;3;1;3
T053;4777;03906-150;6;51;5;2;1;6;1;6;2;-;2;1;2;1;1986;1;1;3
T051;772;03906-140;5;12;1;0;2;-;5;2;3;-;3;2;1;8;1999;5;2;1
T025;3568;03906-130;6;61;5;4;2;-;2;6;3;-;4;2;2;11;1983;4;1;1
